id,nu_ddd_farmacia,nu_telefone_farmacia,nu_cep_farmacia
1011,48,32451773,88140000
1012,51,33413776,91010000
1013,48,34421892,88818400
1014,51,33306023,90610270
1015,44,32581145,86760000
1016,54,33350100,96200370
1017,53,32612920,96300000
1018,41,33465054,81020010
1019,18,36520437,16300000
1020,44,36851234,87490000
1021,55,35411180,98960000
1022,41,32138376,86010000
1023,55,35122298,98900000
1024,47,33512555,88350002
1025,48,36326022,88701001
1026,43,32591622,86210000
1027,54,33350100,97573520
1028,91,30844609,66120000
1029,41,33653772,83323410
1030,51,37081170,96890000
1031,48,34361347,88865000
1032,51,35111000,95010005
1033,48,34651160,88840000
1034,51,35111067,94810000
1035,51,33407225,91220580
1036,41,32138376,84035000
1037,41,32325267,80010110
1038,42,36236875,89400000
1039,51,35116754,92410350
1040,54,33411077,99900000
1041,47,33705236,89260155
1042,47,35211734,89160000
1043,51,35918868,93010010
1044,54,32924572,95270000
1045,48,34476312,88845000
1046,42,36236875,85010000
1047,41,32138376,83260000
1048,91,30844609,68790000
1049,48,35341742,88965000
1050,47,34233375,89201001
1051,51,35116754,96030002
1052,51,35811277,93510250
1053,51,35631308,93900000
1054,51,34771182,90160002
1055,51,32223331,95000000
1056,51,37531405,95735000
1057,45,32231679,85811090
1058,49,33661282,89870000
1059,51,36381126,95750000
1060,51,35116754,95560000
1061,54,32862580,95670000
1062,43,34761331,84470000
1063,54,33350100,96200340
1064,54,33177083,96508011
1065,51,34835599,94814060
1066,54,33350100,93700000
1067,54,32122214,95074001
1068,43,30257288,86042140
1069,44,35252177,87300005
1070,51,34771182,92410350
1071,43,35471293,84285000
1072,51,32189500,91130001
1073,49,35665201,89560000
1074,41,34321056,83370000
1075,51,37202700,95880000
1076,91,3084-464,68675000
1077,91,37112069,68742005
1078,49,20498700,89801000
1079,19,38917306,13847230
1080,41,32467648,81020010
1081,54,33131900,95010005
1082,44,36761415,87400000
1083,48,32544654,88495000
1084,44,36341322,87555000
1085,53,32521564,96600000
1086,54,33413907,99900000
1087,51,32264564,90040183
1088,41,33657424,81530000
1089,51,34819500,81200100
1090,51,35111067,93010003
1091,49,34522530,89770000
1092,54,33350100,95600000
1093,43,3442-219,86940000
1094,41,32138344,80020000
1095,48,35247228,88900000
1096,51,32635663,90820080
1097,51,32353064,90150090
1098,15,3236-647,18108000
1099,55,32614301,97200000
1100,47,33540179,88360000
1101,61,32220223,88523000
1102,41,36068630,83408280
1103,95,36266698,69316516
1104,48,34378479,88801250
1105,55,32822100,97390000
1106,41,32138260,81280270
1107,91,30844609,65066615
1108,51,35116754,90020060
1109,41,32138344,82510160
1110,43,35411487,86280000
1111,51,37661350,95870000
1112,47,34355599,89204002
1113,48,32543370,88495000
1114,54,33131900,89700000
1115,91,32562691,67200000
1116,41,30262222,82515000
1117,54,33350100,95560000
1118,41,32138242,88101100
1119,44,34321156,87970000
1120,35,38631248,37262000
1121,51,34287650,92310001
1122,48,32258669,88010001
1123,47,33850376,89124000
1124,54,32912161,95190000
1125,54,32291725,95052550
1126,19,34585421,13455420
1127,47,33820458,89120000
1128,44,35371378,87270000
1129,51,35111067,92310001
1130,91,30844671,66093026
1131,44,35261482,85830000
1132,42,36224744,85010290
1133,46,35331303,85570000
1134,54,33131900,98300000
1135,51,36642170,95560000
